"Name","Barcode","SKU","Replenishment","Lead time","Days of stock","Vendors","Adjusted sales velocity/day","Sells out in","Last received at","Sales","Stockouts","Cost price","Category","Stock"
"CCI 0019 BR4 Small Rifle Primers - 5000ct Case","=""10076683000191""","=""28422""",327,14,30,"the kinetic group sales, rsr group",7.45,0,"08/07/2025",164,17,87.5,"Primers",0
"Anderson AR-15 Stripped Upper Receiver","=""712038922406""","=""1371""",3900,41,44,"anderson manufacturing, apoc armory, black rifle depot",42.31,0,"06/25/2025",17028,33,32.83,"Upper Receivers",0
"Toolcraft .223/5.56/300 BLK M16 Profile Bolt Carrier Group - Black Nitride","=""5165450264""","=""2705""",2039,63,66,"palmetto state armory, toolcraft inc., black rifle depot",33.33,64,"08/21/2025",14700,68,56.1,"AR-15 BCGs",623
"Microbest C158 HPT/MPI 5.56 Bolt Carrier Group - Chrome","=""14700""","=""14700""",1027,180,180,"microbest",4.18,117,"08/18/2025",1365,200,85,"AR-15 BCGs",163
"Anderson Stripped Lower Receiver - No Logo","=""3470""","=""3470""",2256,64,67,"anderson manufacturing",30.43,57,"06/30/2025",15516,40,28,"Stripped Lowers",4
"AO Precision True Mil-Spec SP/HPT/MPI 5.56 Bolt Carrier Group","=""999994494""","=""4494""",877,108,111,"ao precision manufacturing, llc",4.35,94,"08/27/2025",2090,148,60,"AR-15 BCGs",386
"Microbest Mil-Spec C158 HPT/MPI 5.56 Bolt Carrier Group - Phosphate/Chrome-Lined","=""14699""","=""14699""",679,119,122,"microbest",3.84,82,"08/18/2025",1700,231,75,"AR-15 BCGs",-59
"Vortex Defender-CCW Micro 3 MOA Green Dot","=""843829146418""","=""25854""",261,131,134,"vortex optics, rsr group",1.23,70,"08/11/2025",140,37,72.45,"Red Dot / Holographic Sights",0
"Mil-Spec AR-15 Hammer - Black","=""999991322""","=""1322""",6005,53,56,"anderson manufacturing, black rifle depot, kak industry, indo-mim inc.",59.38,30,"03/28/2025",23819,0,6.63,"Lower Parts",1789
"Aero Precision AR-15 Assembled Upper Receiver","=""815421020618""","=""1278""",631,65,68,"aero precision, apoc armory, primary arms",5.42,78,"07/21/2025",3029,165,64.37,"Upper Receivers",355
"Free Float M-LOK Elite Series Dual Rail QD Handguard - 15","=""26917""","=""26917""",619,64,67,"cf manufacturing",4.39,10,"07/18/2025",443,2,25,"AR-15 Handguards",46
"Foxtrot Mike Products Premium 9mm AR-15 Bolt Carrier Assembly","=""111123""","=""11123""",678,98,101,"foxtrot mike, rsr group",0.67,0,"07/21/2025",289,174,31.88,"AR-15 BCGs",0
"Daniel Defense 10.3 5.56 NATO DDM4V7P Pistol with 9.0 MFR M-LOK Rail and Law Tactical Adapter","=""818773020589""","=""28781""",35,14,30,"daniel defense",0.83,3,"08/06/2025",20,1,1282.5,"Rifle Style Pistols",2
"Rise Armament Super Sporting AR15/10 Single Stage Trigger - Curved - DTOM Special Edition","=""850011713006""","=""24536""",523,87,90,"rise armament",1.77,74,"07/25/2025",705,70,77,"AR-15 Triggers",113
"Vortex Defender-XL Micro 3 MOA Green Dot","=""843829145817""","=""25851""",116,131,134,"vortex optics",0.41,6,"04/16/2025",46,16,231.83,"Red Dot / Holographic Sights",1
"Mil-Spec AR-15 Single Stage Trigger - Black","=""999991320""","=""1320""",4034,37,40,"anderson manufacturing, black rifle depot, kak industry, indo-mim inc.",63.72,20,"07/30/2025",26124,56,6.09,"Lower Parts",1247
"M16A1 Stripped Upper Receiver Forging",,"=""18083""",536,117,120,"formosan arsenal group co. ltd",2.12,0,"07/01/2024",1151,424,20.72,"AR-15 Upper Receivers",0
"Ballistic Advantage 20 5.56 Government Profile Rifle AR-15 Barrel, Modern Series w/ FSB, Triangular Handguard Cap and Delta Ring Assembly","=""840014624713""","=""28895""",242,14,30,"aero precision",5.75,0,"08/19/2025",46,4,76,"AR-15 Barrels",0
"Aero Precision AR-15/M4 Carbine Receiver Extension / Buffer Kit","=""815421021141""","=""1891""",806,120,123,"aero precision, primary arms",3.26,79,"06/27/2025",2053,87,34.84,"Buffer Kits",265
"Mil-Spec Semi-Auto Safety Selector","=""999991313""","=""1313""",7202,61,64,"anderson manufacturing, amtech international, formosan arsenal group co. ltd, white label armory, indo-mim inc.",73.67,51,"08/22/2025",31702,0,2.21,"Safety Selectors",3710
"Vortex RZR Gen II HD-E 1-6x24 VMR-2 MRAD","=""875874009530""","=""4242""",22,44,47,"vortex optics, n.a.g industries",0.26,22,"06/04/2025",147,87,1145.99,"Rifle Scopes",5
"Free Float M-LOK Hexcut Handguard - 15","=""26925""","=""26925""",472,92,95,"cf manufacturing",3.03,52,"08/21/2025",179,0,25,"AR-15 Handguards",161
"Anderson Manufacturing AM-15 Stripped Lower Receiver - Open - Anodized Black","=""2760""","=""2760""",782,21,24,"anderson manufacturing",16.81,0,"06/24/2025",3996,147,30,"Stripped Lowers",-1
"Aero Precision M4E1 Threaded Assembled Upper Receiver","=""815421020977""","=""1675""",271,113,116,"aero precision",1.68,72,"06/13/2025",532,186,99.99,"AR-15 Upper Receivers",93
